Fecha produccion mensual,cantidad_producida,cantidad_distribuida,nombre_producto,marca,cont_Neto,Linea_de_producto
2018-06-30,254369,298618,KRIS MAYONESA,KRIS,410gr,salsas kris
2018-07-31,106580,97219,KRIS MAYONESA,KRIS,410gr,salsas kris
2018-08-31,172145,164072,KRIS MAYONESA,KRIS,410gr,salsas kris
2018-09-30,171235,186508,KRIS MAYONESA,KRIS,410gr,salsas kris
2018-10-31,135169,145545,KRIS MAYONESA,KRIS,410gr,salsas kris
2018-11-30,168799,164902,KRIS MAYONESA,KRIS,410gr,salsas kris
2018-12-31,155753,168720,KRIS MAYONESA,KRIS,410gr,salsas kris
2019-01-31,186598,195268,KRIS MAYONESA,KRIS,410gr,salsas kris
2019-02-28,180220,185004,KRIS MAYONESA,KRIS,410gr,salsas kris
2019-03-31,195379,180316,KRIS MAYONESA,KRIS,410gr,salsas kris
2019-04-30,176513,172543,KRIS MAYONESA,KRIS,410gr,salsas kris
2019-05-31,185244,202963,KRIS MAYONESA,KRIS,410gr,salsas kris
2019-06-30,270529,321953,KRIS MAYONESA,KRIS,410gr,salsas kris
2019-07-31,188993,189173,KRIS MAYONESA,KRIS,410gr,salsas kris
2019-08-31,162165,173502,KRIS MAYONESA,KRIS,410gr,salsas kris
2019-09-30,191071,175722,KRIS MAYONESA,KRIS,410gr,salsas kris
2019-10-31,168069,161257,KRIS MAYONESA,KRIS,410gr,salsas kris
2019-11-30,183791,189292,KRIS MAYONESA,KRIS,410gr,salsas kris
2019-12-31,186825,178107,KRIS MAYONESA,KRIS,410gr,salsas kris
2020-01-31,225056,217992,KRIS MAYONESA,KRIS,410gr,salsas kris
2020-02-29,213710,211342,KRIS MAYONESA,KRIS,410gr,salsas kris
2020-03-31,221566,225923,KRIS MAYONESA,KRIS,410gr,salsas kris
2020-04-30,203369,208909,KRIS MAYONESA,KRIS,410gr,salsas kris
2020-05-31,197002,188243,KRIS MAYONESA,KRIS,410gr,salsas kris
2020-06-30,284927,332577,KRIS MAYONESA,KRIS,410gr,salsas kris
2020-07-31,200782,199662,KRIS MAYONESA,KRIS,410gr,salsas kris
2020-08-31,219504,230062,KRIS MAYONESA,KRIS,410gr,salsas kris
2020-09-30,205413,214753,KRIS MAYONESA,KRIS,410gr,salsas kris
2020-10-31,205120,213071,KRIS MAYONESA,KRIS,410gr,salsas kris
2020-11-30,189384,186554,KRIS MAYONESA,KRIS,410gr,salsas kris
2020-12-31,192516,185778,KRIS MAYONESA,KRIS,410gr,salsas kris
2021-01-31,191722,200864,KRIS MAYONESA,KRIS,410gr,salsas kris
2021-02-28,192033,192830,KRIS MAYONESA,KRIS,410gr,salsas kris
2021-03-31,207963,201974,KRIS MAYONESA,KRIS,410gr,salsas kris
2021-04-30,176928,175739,KRIS MAYONESA,KRIS,410gr,salsas kris
2021-05-31,175877,178714,KRIS MAYONESA,KRIS,410gr,salsas kris
2021-06-30,361167,413509,KRIS MAYONESA,KRIS,410gr,salsas kris
2021-07-31,194126,185851,KRIS MAYONESA,KRIS,410gr,salsas kris
2021-08-31,175998,181470,KRIS MAYONESA,KRIS,410gr,salsas kris
2021-09-30,173666,174061,KRIS MAYONESA,KRIS,410gr,salsas kris
2021-10-31,182644,180466,KRIS MAYONESA,KRIS,410gr,salsas kris
2021-11-30,184417,190057,KRIS MAYONESA,KRIS,410gr,salsas kris
2021-12-31,236002,223028,KRIS MAYONESA,KRIS,410gr,salsas kris
2022-01-31,221043,205524,KRIS MAYONESA,KRIS,410gr,salsas kris
2022-02-28,287438,290944,KRIS MAYONESA,KRIS,410gr,salsas kris
2022-03-31,237219,217996,KRIS MAYONESA,KRIS,410gr,salsas kris
2022-04-30,247825,272535,KRIS MAYONESA,KRIS,410gr,salsas kris
2022-05-31,244565,266007,KRIS MAYONESA,KRIS,410gr,salsas kris
